"num","state","startdate","enddate","pollster","grade","spread","lower","upper","actual_spread","error","hit"
"1","New Mexico",2016-11-06,2016-11-06,"Zia Poll",NA,0.02,-0.00133122130007107,0.0413312213000711,0.083,-0.0629999999999999,TRUE
"2","Virginia",2016-11-03,2016-11-04,"Public Policy Polling","B+",0.05,-0.00563450404289464,0.105634504042895,0.054,-0.004,TRUE
"3","Iowa",2016-11-01,2016-11-04,"Selzer & Company","A+",-0.07,-0.139125209515711,-0.000874790484289303,-0.094,0.024,TRUE
"4","Wisconsin",2016-10-26,2016-10-31,"Marquette University","A",0.06,0.00477406371100878,0.115225936288991,-0.00700000000000001,0.067,FALSE
"5","North Carolina",2016-11-04,2016-11-06,"Siena College","A",0,-0.0692951912174839,0.0692951912174839,-0.036,0.036,FALSE
"6","Georgia",2016-11-06,2016-11-06,"Landmark Communications","B",-0.03,-0.0865538202935597,0.0265538202935598,-0.051,0.0210000000000001,TRUE
"7","Florida",2016-11-03,2016-11-06,"Quinnipiac University","A-",0.01,-0.0559174263621061,0.0759174263621061,-0.012,0.022,FALSE
"8","North Carolina",2016-11-03,2016-11-06,"Quinnipiac University","A-",0.02,-0.0464357111866825,0.0864357111866824,-0.036,0.0559999999999999,FALSE
"9","Georgia",2016-11-03,2016-11-06,"Gravis Marketing","B-",-0.04,-0.0837691729735406,0.00376917297354064,-0.051,0.0110000000000001,TRUE
"10","Oregon",2016-11-03,2016-11-06,"Gravis Marketing","B-",0.04,-0.0042018277040614,0.0842018277040614,0.11,-0.07,TRUE
"11","Ohio",2016-11-03,2016-11-06,"Gravis Marketing","B-",-0.06,-0.106358885931944,-0.013641114068056,-0.082,0.022,TRUE
"12","South Carolina",2016-11-03,2016-11-06,"Gravis Marketing","B-",-0.05,-0.0967801349330371,-0.00321986506696283,-0.142,0.0919999999999999,TRUE
"13","Ohio",2016-11-02,2016-11-04,"YouGov","B",-0.01,-0.0668375629091657,0.0468375629091657,-0.082,0.072,TRUE
"14","Virginia",2016-11-01,2016-11-02,"Remington",NA,0.02,-0.015331985959587,0.055331985959587,0.054,-0.034,TRUE
"15","New York",2016-11-03,2016-11-06,"Gravis Marketing","B-",0.19,0.143066793716679,0.236933206283321,0.225,-0.0349999999999999,TRUE
"16","Michigan",2016-11-03,2016-11-04,"Public Policy Polling","B+",0.05,-0.0132773924447795,0.11327739244478,-0.002,0.052,FALSE
"17","North Carolina",2016-10-31,2016-11-01,"Public Policy Polling","B+",0.02,-0.0373131078629044,0.0773131078629044,-0.036,0.056,FALSE
"18","Wisconsin",2016-11-01,2016-11-02,"Remington",NA,0.08,0.0425398570426784,0.117460142957322,-0.00700000000000001,0.087,FALSE
"19","Pennsylvania",2016-11-01,2016-11-02,"Remington",NA,0.01,-0.0278369428378433,0.0478369428378433,-0.00700000000000001,0.017,FALSE
"20","Virginia",2016-11-01,2016-11-06,"Christopher Newport University","B-",0.06,0.00335719802978135,0.116642801970219,0.054,0.00600000000000001,TRUE
"21","North Carolina",2016-11-01,2016-11-02,"Remington",NA,-0.03,-0.0684503437189995,0.00845034371899955,-0.036,0.00600000000000001,TRUE
